Title,Description,Date,Time,Duration,Address,City,State,Host
Jimmy's Birthday Party,"Cray mixtape keytar squid trust fund, health goth affogato hella banjo mumblecore skateboard pok pok blue bottle bitters taxidermy.",10/25/2017,11:00:00 AM,2:00:00,123 6th St.,Melbourne,FL,Hanna O'Malley
Laura's Graduation,Viral unicorn actually snackwave migas etsy normcore fanny pack photo booth gentrify tote bag butcher retro.,10/26/2017,12:00:00 PM,1:00:00,71 Pilgrim Avenue,Chevy Chase,MD,Ainslie Van Amersvoort
Movie with Frank,"Hashtag drinking vinegar gentrify af kogi, hexagon meh butcher meggings YOLO typewriter chambray 8-bit.",10/27/2017,1:00:00 PM,1:30:00,100 Madison Drive,Hyattsville,MD,Clovis Perez
Lunch with Elaine,,10/28/2017,2:00:00 PM,2:15:00,9057 E. Oak Meadow Court,Dedham,MA,Aeliana Zhou
Dinner with Jerry,"Chartreuse cardigan cred quinoa, unicorn shabby chic mumblecore selfies palo santo artisan readymade church-key glossier narwhal ennui.",10/29/2017,3:00:00 PM,2:00:00,7313 Greystone St.,East Haven,CT,Clovis Perez
Sarah's Birthday,,10/30/2017,4:00:00 PM,1:50:00,9967 East Woodsman Ave.,Fort Dodge,IA,Ainslie Van Amersvoort
Paul's Graduation,Mumblecore etsy pickled listicle.,10/31/2017,5:00:00 PM,3:00:00,723 Lafayette Ave.,Gainesville,VA,Hanna O'Malley
Movie with Alice,"Drinking vinegar umami flexitarian food truck poutine, hexagon meggings chartreuse.",11/1/2017,6:00:00 PM,1:47:48,9480 NE. Pennington Ave.,Whitestone,NY,Clovis Perez
Lunch with Jeff,"Celiac small batch seitan sriracha, hammock street art chicharrones schlitz art party quinoa poutine.",11/2/2017,7:00:00 PM,1:00:00,8 Highland St.,Upper Marlboro,MD,Aeliana Zhou
Dinner with Sally,Glossier meggings vexillologist blue bottle hoodie iceland XOXO whatever.,11/3/2017,8:00:00 PM,1:00:00,,,,Clovis Perez
